variant,n,digits,status,position_final,discoverer,verifier,maintainer_pari,unit_id
even,0,1,proven,True,,,none,lehmer-q2-00000000-00005000
even,4,1,proven,True,,,none,lehmer-q2-00000000-00005000
m1,5,1,proven,True,,,none,lehmer-q2-00000000-00005000
even,6,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,8,2,proven,True,,,none,lehmer-q2-00000000-00005000
m1,9,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,10,2,proven,True,,,none,lehmer-q2-00000000-00005000
m1,11,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,12,1,proven,True,,,none,lehmer-q2-00000000-00005000
m1,13,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,14,3,proven,True,,,none,lehmer-q2-00000000-00005000
even,16,3,proven,True,,,none,lehmer-q2-00000000-00005000
m1,17,2,proven,True,,,none,lehmer-q2-00000000-00005000
m1,19,3,proven,True,,,none,lehmer-q2-00000000-00005000
m1,21,3,proven,True,,,none,lehmer-q2-00000000-00005000
even,22,4,proven,True,,,none,lehmer-q2-00000000-00005000
even,26,4,proven,True,,,none,lehmer-q2-00000000-00005000
m1,29,5,proven,True,,,none,lehmer-q2-00000000-00005000
m1,31,3,proven,True,,,none,lehmer-q2-00000000-00005000
even,32,5,proven,True,,,none,lehmer-q2-00000000-00005000
even,34,6,proven,True,,,none,lehmer-q2-00000000-00005000
m1,43,7,proven,True,,,none,lehmer-q2-00000000-00005000
even,46,7,proven,True,,,none,lehmer-q2-00000000-00005000
m1,47,7,proven,True,,,none,lehmer-q2-00000000-00005000
even,58,9,proven,True,,,none,lehmer-q2-00000000-00005000
m1,59,9,proven,True,,,none,lehmer-q2-00000000-00005000
m1,61,10,proven,True,,,none,lehmer-q2-00000000-00005000
m1,67,11,proven,True,,,none,lehmer-q2-00000000-00005000
m1,73,11,proven,True,,,none,lehmer-q2-00000000-00005000
even,82,13,proven,True,,,none,lehmer-q2-00000000-00005000
even,86,14,proven,True,,,none,lehmer-q2-00000000-00005000
even,94,15,proven,True,,,none,lehmer-q2-00000000-00005000
m1,101,16,proven,True,,,none,lehmer-q2-00000000-00005000
m1,109,17,proven,True,,,none,lehmer-q2-00000000-00005000
m1,113,17,proven,True,,,none,lehmer-q2-00000000-00005000
m1,127,19,proven,True,,,none,lehmer-q2-00000000-00005000
m1,137,21,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,139,21,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,146,22,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,179,27,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,181,28,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,214,33,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,218,33,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,269,40,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,277,42,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,307,46,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,314,48,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,331,50,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,347,53,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,353,54,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,367,56,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,401,61,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,503,75,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,614,93,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,662,100,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,706,107,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,787,119,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,794,120,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,982,149,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1019,154,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1039,157,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,1138,172,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1279,193,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1289,194,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1373,207,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,1454,220,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1549,234,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1777,268,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,1913,288,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,2179,328,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,2273,343,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,2371,357,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,2446,369,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,2459,371,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,3761,567,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,3919,590,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,4127,622,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,4138,624,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
m1,5227,786,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
even,8594,1294,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
m1,8641,1301,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
m1,8831,1329,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
m1,9011,1356,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
m1,12497,1881,prp,False,andytriboletti,,none,lehmer-q2-00010000-00015000
m1,13457,2026,prp,False,andytriboletti,,none,lehmer-q2-00010000-00015000
m1,15451,2326,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
even,17522,2638,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
even,0,1,proven,True,,,none,lehmer-q2-00000000-00005000
p1,3,1,proven,True,,,none,lehmer-q2-00000000-00005000
even,4,1,proven,True,,,none,lehmer-q2-00000000-00005000
even,6,2,proven,True,,,none,lehmer-q2-00000000-00005000
p1,7,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,8,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,10,2,proven,True,,,none,lehmer-q2-00000000-00005000
p1,11,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,12,1,proven,True,,,none,lehmer-q2-00000000-00005000
p1,13,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,14,3,proven,True,,,none,lehmer-q2-00000000-00005000
even,16,3,proven,True,,,none,lehmer-q2-00000000-00005000
p1,17,3,proven,True,,,none,lehmer-q2-00000000-00005000
p1,19,2,proven,True,,,none,lehmer-q2-00000000-00005000
even,22,4,proven,True,,,none,lehmer-q2-00000000-00005000
p1,23,4,proven,True,,,none,lehmer-q2-00000000-00005000
p1,25,4,proven,True,,,none,lehmer-q2-00000000-00005000
even,26,4,proven,True,,,none,lehmer-q2-00000000-00005000
p1,29,4,proven,True,,,none,lehmer-q2-00000000-00005000
p1,31,5,proven,True,,,none,lehmer-q2-00000000-00005000
even,32,5,proven,True,,,none,lehmer-q2-00000000-00005000
even,34,6,proven,True,,,none,lehmer-q2-00000000-00005000
p1,37,6,proven,True,,,none,lehmer-q2-00000000-00005000
even,46,7,proven,True,,,none,lehmer-q2-00000000-00005000
even,58,9,proven,True,,,none,lehmer-q2-00000000-00005000
p1,59,9,proven,True,,,none,lehmer-q2-00000000-00005000
p1,61,10,proven,True,,,none,lehmer-q2-00000000-00005000
even,82,13,proven,True,,,none,lehmer-q2-00000000-00005000
p1,83,13,proven,True,,,none,lehmer-q2-00000000-00005000
even,86,14,proven,True,,,none,lehmer-q2-00000000-00005000
p1,89,14,proven,True,,,none,lehmer-q2-00000000-00005000
even,94,15,proven,True,,,none,lehmer-q2-00000000-00005000
p1,97,15,proven,True,,,none,lehmer-q2-00000000-00005000
p1,109,17,proven,True,,,none,lehmer-q2-00000000-00005000
p1,131,20,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,146,22,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,149,23,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,151,23,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,163,25,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,197,30,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,214,33,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,218,33,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,251,38,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,314,48,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,331,50,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,409,62,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,431,65,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,461,70,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,463,70,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,523,79,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,577,87,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,614,93,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,662,100,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,706,107,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,709,107,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,719,108,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,757,114,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,794,120,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,887,133,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,982,149,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,1138,172,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,1454,220,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,1663,250,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,1999,301,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,2131,321,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,2446,369,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,2677,403,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,2879,433,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,3061,461,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,3659,551,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
even,4138,624,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,4201,633,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,4673,704,prp,False,andytriboletti,,none,lehmer-q2-00000000-00005000
p1,6827,1028,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
even,8594,1294,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
p1,8599,1294,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
p1,8669,1305,prp,False,andytriboletti,,none,lehmer-q2-00005000-00010000
p1,12119,1825,prp,False,andytriboletti,,none,lehmer-q2-00010000-00015000
p1,16189,2437,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
even,17522,2638,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
p1,17903,2695,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
p1,18121,2728,prp,False,andytriboletti,,none,lehmer-q2-00015000-00020000
